,Sample,Event,<qLKSiki>,<Rc3kmmq>,<qLKSiki> + CoT,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
11,8,18,FN,FN,TP,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP
12,9,15,TP,TP,TP,TP,FN,FN,TP,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,TP,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,cannot decide
13,9,17,FP,FP,FP,FP,FP,TN,FP,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,FP,FP,FP,TN,FP,TN,FP,TN,FP,TN,TN,TN,FP,FP,TN,FP,TN,TN,TN,TN,TN
14,10,19,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,TP,FN
15,11,18,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN
16,12,15,FN,TP,TP,FN,FN,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,TP,FN,TP
17,12,16,FP,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,FP,TN,FP,TN
18,13,17,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,FN,FN,FN,TP,FN,TP,FN,TP,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP
19,14,17,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP
20,15,16,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN
21,16,16,FN,FN,TP,TP,TP,FN,FN,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,TP,FN,FN,TP,TP,TP,FN,TP,TP,FN,TP,FN,TP,FN,FN,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN
22,17,16,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN
23,18,16,TP,TP,TP,TP,TP,FN,TP,FN,FN,TP,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,TP,TP,TP,FN,TP,TP,FN,TP,FN,TP,FN,FN,FN,TP,cannot decide,TP
24,18,17,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,FP
25,19,14,TP,TP,TP,TP,FN,TP,TP,FN,FN,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,TP,FN,TP,FN,TP,TP,TP,TP,FN,FN,FN,TP,FN,TP,TP,TP,TP,FN,FN,FN
26,19,15,FP,TN,FP,TN,FP,TN,FP,TN,FP,FP,FP,TN,FP,FP,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,TN,TN,FP,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,TN,FP,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP
27,20,16,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,TP,FN
28,21,15,FN,FN,TP,TP,TP,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,FN,TP,TP,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,TP,FN,TP,FN,FN,FN,TP,TP,FN,FN,TP,TP,FN,FN,FN,FN,FN,TP,TP,FN,FN,FN
29,22,17,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN
30,23,15,FN,FN,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN,FN,TP,FN,TP,TP,FN,FN,FN,FN,FN,FN,TP,FN,TP,TP,FN,TP,TP,TP,FN,FN,TP,FN,TP,FN,FN,TP,TP,FN,FN,FN,TP,FN
31,24,15,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP
32,25,15,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,TP,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP
33,26,15,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN
34,27,14,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,TP,FN,FN,FN
35,27,15,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,FP,FP
36,28,18,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,FN,FN,TP,FN,FN,TP,FN,FN,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,FN
37,29,16,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,TP,FN,TP,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN,FN,FN,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN
38,30,16,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,TP,TP,FN,FN,FN,TP,TP,TP,TP,TP,FN,FN,FN,FN,TP,FN,TP
39,30,17,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,FP,TN,TN,TN,TN,FP,TN,TN,FP,TN,TN,FP,FP,TN,FP
40,31,16,TP,FN,TP,TP,FN,TP,TP,TP,FN,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,TP,FN,TP,FN,TP,FN,TP,TP,FN
41,32,15,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,TP,FN,FN,TP,FN,FN,FN,FN,TP,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN,FN,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,TP,FN,TP,TP,FN,FN,FN
42,32,16,TN,TN,TN,TN,FP,FP,FP,TN,TN,TN,TN,TN,FP,FP,TN,FP,FP,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,FP
43,33,17,TP,FN,TP,FN,TP,TP,TP,FN,TP,TP,FN,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,FN,FN,FN,FN,FN,TP,TP,TP,TP
44,34,16,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN,TP,FN
45,35,16,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,FN
46,36,14,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,FN
47,36,15,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
48,37,17,FN,FN,TP,TP,TP,FN,TP,FN,TP,FN,TP,FN,TP,TP,TP,FN,FN,TP,FN,TP,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,TP,FN,FN,FN,TP,FN,TP,TP,TP,FN,FN,FN,FN,TP,FN,TP,FN,FN
49,37,19,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN
50,38,16,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,FN,TP,FN
51,39,16,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,TP,TP,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
52,40,15,FN,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN
53,41,14,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN,FN
54,41,15,FP,TN,TN,TN,FP,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN
55,42,16,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,FN,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN
56,43,15,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,FN,TP,FN,TP,TP,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP
57,44,17,TP,TP,TP,FN,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,FN,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,FN,TP,FN,TP,FN,FN,TP,TP,FN,TP,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP
58,45,18,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,TP,FN
59,46,15,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,TP,FN,FN,FN,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,TP,FN,TP
60,47,16,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,FN,TP,TP,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,TP,TP,TP,TP,FN,TP,FN,FN,FN,TP,FN,FN,TP,TP,FN,TP,TP,FN,FN
61,47,17,TN,FP,FP,FP,FP,FP,FP,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,TN,FP,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,FP,FP,TN,TN,FP,FP,FP,TN,FP,FP,TN,FP,FP,FP,TN,FP,FP,FP,TN,FP
62,48,15,TP,FN,TP,TP,FN,FN,FN,FN,TP,TP,FN,FN,FN,TP,TP,TP,TP,FN,FN,FN,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,FN,TP,FN,TP,TP,TP,FN,TP,TP,TP,FN,TP,FN,FN,TP,FN
63,48,16,FP,TN,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,TN,FP,FP,FP,TN,TN,FP,TN,TN,TN,TN,TN,FP,TN,TN,FP,TN,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,FP,FP,FP,FP,FP,TN,TN,TN,FP,TN,FP,TN
64,49,16,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,FN,TP,FN,TP,FN,FN,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN
65,50,17,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,TP,FN,FN,TP,TP,TP,TP,TP,TP,TP
66,51,17,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,FN,FN
67,52,17,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,FN,TP,TP,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,FN,TP,TP,FN,FN,TP,FN,FN,FN,FN,FN,TP,FN,FN,FN,TP,FN,FN
68,52,18,FP,TN,FP,FP,FP,FP,FP,FP,TN,TN,TN,FP,FP,FP,TN,TN,FP,TN,FP,FP,FP,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,FP,TN,TN,FP,FP,FP,TN,TN,TN,TN,FP,TN,FP,FP,TN,TN,TN,TN,TN
69,53,17,TP,FN,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,FN,FN,FN,TP,TP,FN,FN,FN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,FN,FN,FN,TP,TP,FN,FN,FN,TP,FN,FN,FN,FN,FN
