,Sample,Mentioned Container Order,Mentioned Container Order Reversed
0,1,2,4
1,2,0,3
2,3,2,0
3,4,0,1
4,5,2,3
5,6,0,5
6,7,1,0
7,8,3,2
8,9,0,0
9,10,1,3
10,11,0,0
11,12,0,0
12,13,0,2
13,14,2,4
14,15,0,2
15,16,1,1
16,17,2,4
17,18,2,1
18,19,1,1
19,20,2,4
20,21,1,1
21,22,3,2
22,23,2,0
23,24,0,1
24,25,0,0
25,26,1,1
26,27,0,4
27,28,3,1
28,29,0,1
29,30,0,2
30,31,3,0
31,32,0,3
32,33,0,0
33,34,3,0
34,35,3,1
35,36,2,1
36,37,1,4
37,38,3,4
38,39,2,6
39,40,1,0
40,41,2,3
41,42,1,3
42,43,2,3
43,44,1,2
44,45,1,4
45,46,1,0
46,47,0,1
47,48,0,0
48,49,2,3
49,50,0,0
50,51,0,3
51,52,0,4
52,53,0,2
53,54,2,0
54,55,0,2
55,56,1,2
56,57,3,1
57,58,0,2
58,59,0,3
59,60,2,2
60,61,2,4
61,62,0,0
62,63,1,3
63,64,1,3
64,65,0,2
65,66,1,2
66,67,1,3
67,68,1,5
68,69,1,5
69,70,0,3
70,71,1,1
71,72,1,5
72,73,1,0
73,74,3,5
74,75,1,5
75,76,2,5
76,77,0,2
77,78,1,3
78,79,1,1
79,80,2,0
80,81,0,1
81,82,0,3
82,83,0,4
83,84,0,3
84,85,2,0
85,86,1,1
86,87,1,0
87,88,0,2
88,89,0,2
89,90,3,2
90,91,1,4
91,92,0,4
92,93,1,1
93,94,1,2
94,95,0,2
95,96,1,0
96,97,2,4
97,98,3,2
98,99,4,4
99,100,4,1
